,Compound Score,Negative Score,Neutral Score,News Outlet,Positive Score,Tweet Text,Tweet Time,Tweets Ago
0,0.0,0.0,1.0,BBC,0.0,"Tonight, @reginalddhunter takes a 2,000-mile musical road trip along the US-Mexico border. 🎶

Reginald D Hunter's S… https://t.co/K4ZHogg1lO",Sat Jul 14 19:03:07 +0000 2018,1
1,0.3818,0.0,0.843,BBC,0.157,There's a clear difference in the way boys and girls behave during a #heatwave. 😂☀️🌡 @JackWhitehall… https://t.co/SmGTMhnZ3M,Sat Jul 14 18:03:04 +0000 2018,2
2,0.8271,0.0,0.609,BBC,0.391,🎾 Angelique Kerber beat seven-time champion Serena Williams to win her first #Wimbledon title.… https://t.co/O7Q0shxwSc,Sat Jul 14 17:32:50 +0000 2018,3
3,0.6688,0.0,0.824,BBC,0.176,"RT @BBCSport: Angelique Kerber is the #wimbledon champion! 👏

The German beats Serena Williams to lift the trophy for the first time! 🙌
 
L…",Sat Jul 14 16:23:10 +0000 2018,4
4,0.2714,0.147,0.621,BBC,0.232,"""We'll definitely keep in touch!""  👋 *Immediately blocks number* #Extras 

https://t.co/9gVnLDsdq0",Sat Jul 14 16:03:05 +0000 2018,5
5,0.0,0.0,1.0,BBC,0.0,A wild banana that may hold the key to protecting the world's edible banana crop has been put on the extinction lis… https://t.co/iU8sxtarEw,Sat Jul 14 13:03:04 +0000 2018,6
6,0.0,0.0,1.0,BBC,0.0,"There she goes! 🚢 🌊

The RRS Sir David Attenborough - the UK's polar ship known to some as Boaty McBoatface - is la… https://t.co/bYll3hTWpa",Sat Jul 14 12:10:55 +0000 2018,7
7,0.0,0.0,1.0,BBC,0.0,"RT @bbctennis: Meghan Markle has arrived!

The crowd shouted her name as she made her way to Centre Court. She waved 👋

💻📱 https://t.co/Xg5…",Sat Jul 14 12:08:51 +0000 2018,8
8,0.0,0.0,1.0,BBC,0.0,"We all know a hipster restaurant that's taken things a bit too far... 🙄😂 

https://t.co/0N3WTRIUVu",Sat Jul 14 12:04:02 +0000 2018,9
9,0.0,0.0,1.0,BBC,0.0,"RT @1Xtra: Tonight 9pm @Drake x @CharlieSloth 🔥🦂

#DrakeFITB https://t.co/LpqcF10QvH",Sat Jul 14 11:13:46 +0000 2018,10
10,0.0,0.0,1.0,BBC,0.0,Sue Barker presents live coverage of Angelique Kerber vs Serena Williams in the women's singles final from Wimbledo… https://t.co/hFtwDO5Ma3,Sat Jul 14 11:07:03 +0000 2018,11
11,-0.2732,0.13,0.87,BBC,0.0,"😲The man with world's longest fingernails has had them cut off after 66 years. 

https://t.co/FmC6KX7ZKP",Sat Jul 14 10:03:02 +0000 2018,12
12,0.1027,0.0,0.924,BBC,0.076,"RT @CBeebiesHQ: Look WHO is in for tonight's #BedtimeStory ⏳🌀

@Pearlie_mack reads Ellie's Magic Wellies 📖

@bbcdoctorwho

@AmySparkes

@Ea…",Sat Jul 14 09:54:33 +0000 2018,13
13,0.4019,0.0,0.838,BBC,0.162,"This model was bitten by a shark while posing for a photo on holiday. 😮🦈
https://t.co/hQ5q69tVBZ https://t.co/TMYfQlnwto",Sat Jul 14 09:07:03 +0000 2018,14
14,0.7506,0.0,0.652,BBC,0.348,"Meet the 8-year-old yoga expert who is winning national and international prizes. 🧘‍♂️

https://t.co/Rn4flrc6vh",Sat Jul 14 08:02:07 +0000 2018,15
15,0.6249,0.118,0.608,BBC,0.274,"“It’s a love museum – just maybe upside down"". 💔

Welcome to the museum preserving the memories of broken hearts. 👉… https://t.co/KK5pBeeWWE",Sat Jul 14 07:33:07 +0000 2018,16
16,-0.7003,0.266,0.734,BBC,0.0,"71 years after her death, the UK's forgotten astronomer Annie Maunder is finally getting some recognition. ☄🔭🌠

https://t.co/fjWUaZC4zQ",Sat Jul 14 07:04:02 +0000 2018,17
17,0.7964,0.0,0.728,BBC,0.272,"Gary Barlow and his ten-piece band perform songs including Greatest Day, Back for Good and Rule the World against t… https://t.co/xAcRAKlkmn",Fri Jul 13 20:32:04 +0000 2018,18
18,0.8268,0.0,0.688,BBC,0.312,"The world's greatest classical musical festival is back! 🎶🎻👏 @bbcproms 2018

First Night of the Proms | 8:30pm |… https://t.co/JKCkC5EMMs",Fri Jul 13 18:31:05 +0000 2018,19
19,0.0,0.0,1.0,BBC,0.0,"RT @BBCSport: This is some semi-final.

Watch Kevin Anderson and John Isner live on @BBCTwo and online.

https://t.co/gmKgD0Vwbx https://t.…",Fri Jul 13 18:30:37 +0000 2018,20
